month,value
1998-01-31,0.46
1998-02-28,0.77
1998-03-31,0.42
1998-04-30,0.38
1998-05-31,0.73
1998-06-30,0.69
1998-07-31,0.37
1998-08-31,0.62
1998-09-30,0.49
1998-10-31,0.4
1998-11-30,0.51
1998-12-31,0.6
1999-01-31,0.58
1999-02-28,0.47
1999-03-31,0.78
1999-04-30,1.05
1999-05-31,0.77
1999-06-30,0.7
1999-07-31,0.3
1999-08-31,0.56
1999-09-30,0.67
1999-10-31,0.84
1999-11-30,0.65
1999-12-31,0.97
2000-01-31,0.73
2000-02-29,0.53
2000-03-31,0.35
2000-04-30,0.44
2000-05-31,0.47
2000-06-30,0.52
2000-07-31,0.41
2000-08-31,0.34
2000-09-30,0.36
2000-10-31,0.45
2000-11-30,0.29
2000-12-31,0.32
2001-01-31,0.39
2001-02-28,0.44
2001-03-31,0.35
2001-04-30,0.28
2001-05-31,0.51
2001-06-30,0.45
2001-07-31,0.51
2001-08-31,0.33
2001-09-30,1.7
2001-10-31,1.82
2001-11-30,1.38
2001-12-31,0.9
2002-01-31,0.46
2002-02-28,0.52
2002-03-31,0.6
2002-04-30,0.54
2002-05-31,0.84
2002-06-30,0.72
2002-07-31,0.38
2002-08-31,0.55
2002-09-30,1.04
2002-10-31,1.21
2002-11-30,0.95
2002-12-31,0.9
2003-01-31,1.16
2003-02-28,1.33
2003-03-31,1.7
2003-04-30,1.16
2003-05-31,0.93
2003-06-30,0.6
2003-07-31,0.35
2003-08-31,0.65
2003-09-30,0.51
2003-10-31,0.56
2003-11-30,0.39
2003-12-31,0.49
2004-01-31,0.33
2004-02-29,0.5
2004-03-31,0.42
2004-04-30,0.42
2004-05-31,0.32
2004-06-30,0.58
2004-07-31,0.37
2004-08-31,0.54
2004-09-30,0.99
2004-10-31,0.49
2004-11-30,0.5
2004-12-31,0.38
2005-01-31,0.33
2005-02-28,0.52
2005-03-31,0.49
2005-04-30,0.26
2005-05-31,0.42
2005-06-30,0.3
2005-07-31,0.58
2005-08-31,0.41
2005-09-30,0.47
2005-10-31,0.39
2005-11-30,0.35
2005-12-31,0.25
2006-01-31,0.67
2006-02-28,0.54
2006-03-31,0.58
2006-04-30,0.5
2006-05-31,0.54
2006-06-30,0.59
2006-07-31,0.88
2006-08-31,0.55
2006-09-30,0.52
2006-10-31,0.79
2006-11-30,0.41
2006-12-31,0.54
2007-01-31,0.33
2007-02-28,0.59
2007-03-31,0.39
2007-04-30,0.29
2007-05-31,0.38
2007-06-30,0.5
2007-07-31,0.42
2007-08-31,0.33
2007-09-30,0.5
2007-10-31,0.57
2007-11-30,0.44
2007-12-31,0.63
2008-01-31,0.29
2008-02-29,0.38
2008-03-31,0.29
2008-04-30,0.28
2008-05-31,0.34
2008-06-30,0.33
2008-07-31,0.54
2008-08-31,1.12
2008-09-30,0.83
2008-10-31,0.42
2008-11-30,0.47
2008-12-31,0.38
2009-01-31,0.32
2009-02-28,0.36
2009-03-31,0.32
2009-04-30,0.6
2009-05-31,0.44
2009-06-30,0.46
2009-07-31,0.53
2009-08-31,0.4
2009-09-30,0.88
2009-10-31,0.58
2009-11-30,0.44
2009-12-31,0.48
2010-01-31,0.34
2010-02-28,0.42
2010-03-31,0.55
2010-04-30,0.79
2010-05-31,0.56
2010-06-30,0.53
2010-07-31,0.28
2010-08-31,0.39
2010-09-30,0.32
2010-10-31,0.24
2010-11-30,0.68
2010-12-31,0.63
2011-01-31,0.48
2011-02-28,0.33
2011-03-31,0.73
2011-04-30,0.25
2011-05-31,0.22
2011-06-30,0.29
2011-07-31,0.27
2011-08-31,0.38
2011-09-30,0.29
2011-10-31,0.31
2011-11-30,0.62
2011-12-31,0.46
2012-01-31,0.44
2012-02-29,0.89
2012-03-31,0.69
2012-04-30,0.58
2012-05-31,0.57
2012-06-30,0.8
2012-07-31,0.75
2012-08-31,0.38
2012-09-30,0.34
2012-10-31,0.44
2012-11-30,0.3
2012-12-31,0.44
2013-01-31,0.36
2013-02-28,0.45
2013-03-31,0.4
2013-04-30,0.52
2013-05-31,0.6
2013-06-30,0.56
2013-07-31,0.3
2013-08-31,0.6
2013-09-30,0.99
2013-10-31,0.5
2013-11-30,0.64
2013-12-31,0.39
2014-01-31,0.52
2014-02-28,0.61
2014-03-31,2.33
2014-04-30,1.54
2014-05-31,1.04
2014-06-30,0.82
2014-07-31,1.85
2014-08-31,1.49
2014-09-30,1.51
2014-10-31,0.48
2014-11-30,0.78
2014-12-31,0.73
2015-01-31,0.64
2015-02-28,1.36
2015-03-31,0.79
2015-04-30,0.82
2015-05-31,0.45
2015-06-30,0.71
2015-07-31,0.82
2015-08-31,0.6
2015-09-30,1.07
2015-10-31,1.2
2015-11-30,1.67
2015-12-31,0.97
2016-01-31,0.7
2016-02-29,1.19
2016-03-31,0.78
2016-04-30,0.78
2016-05-31,0.66
2016-06-30,0.54
2016-07-31,0.76
2016-08-31,0.94
2016-09-30,1.05
2016-10-31,1.0
2016-11-30,0.98
2016-12-31,1.26
2017-01-31,1.24
2017-02-28,1.08
2017-03-31,0.79
2017-04-30,1.44
2017-05-31,0.87
2017-06-30,0.83
2017-07-31,1.37
2017-08-31,1.08
2017-09-30,1.18
2017-10-31,0.74
2017-11-30,0.63
2017-12-31,0.79
2018-01-31,1.03
2018-02-28,0.74
2018-03-31,1.42
2018-04-30,1.77
2018-05-31,1.26
2018-06-30,0.89
2018-07-31,1.14
2018-08-31,1.16
2018-09-30,0.82
2018-10-31,1.01
2018-11-30,0.83
2018-12-31,0.93
2019-01-31,1.0
2019-02-28,1.06
2019-03-31,0.56
2019-04-30,0.81
2019-05-31,0.97
2019-06-30,0.9
2019-07-31,0.8
2019-08-31,0.84
2019-09-30,0.58
2019-10-31,1.07
2019-11-30,0.47
2019-12-31,0.58
2020-01-31,1.18
2020-02-29,0.66
2020-03-31,0.43
2020-04-30,0.35
2020-05-31,0.29
2020-06-30,0.49
2020-07-31,0.4
2020-08-31,0.51
2020-09-30,0.93
2020-10-31,0.85
2020-11-30,0.45
2020-12-31,0.58
2021-01-31,0.59
2021-02-28,0.51
2021-03-31,0.63
2021-04-30,1.2
2021-05-31,0.83
2021-06-30,0.83
2021-07-31,0.49
2021-08-31,0.69
2021-09-30,0.6
2021-10-31,0.55
2021-11-30,1.21
2021-12-31,1.72
2022-01-31,2.78
2022-02-28,5.4
2022-03-31,8.8
2022-04-30,4.83
2022-05-31,3.19
2022-06-30,3.03
2022-07-31,2.7
2022-08-31,2.42
2022-09-30,3.02
2022-10-31,3.39
2022-11-30,2.46
2022-12-31,2.28
2023-01-31,1.97
2023-02-28,2.3
2023-03-31,2.05
2023-04-30,1.81
2023-05-31,1.9
2023-06-30,2.21
2023-07-31,2.08
2023-08-31,1.97
2023-09-30,1.91
2023-10-31,1.84
2023-11-30,1.27
2023-12-31,1.5
2024-01-31,1.55
2024-02-29,1.72
2024-03-31,1.58
2024-04-30,1.83
2024-05-31,1.72
2024-06-30,1.47
2024-07-31,0.99
2024-08-31,1.55
2024-09-30,1.44
2024-10-31,1.37
2024-11-30,1.96
2024-12-31,2.3
2025-01-31,1.12
2025-02-28,1.95
2025-03-31,2.45
2025-04-30,1.51
2025-05-31,1.51
2025-06-30,2.17
2025-07-31,1.34
